0,1,2,3,4
1,97255049,97255057,94255068,94255030
1,93255049,94251067,93255053,94245049
1,96192073,97247064,92250054,96255048
1,95212124,93255083,94255102,95252100
1,90147080,92220087,94178133,92214106
1,92178076,91204070,96255070,94231096
1,94210085,95203089,91255048,91244045
1,85255061,84252090,84250054,84255062
1,92230060,89237086,91202053,85225060
2,104245078,97157187,101219098,105255057
2,90034255,99089255,90051179,102062147
2,89043255,102159144,103203098,103251118
2,94158092,102224074,103255061,105255032
2,104129218,102235065,101216222,101255134
2,93040126,103087094,99083104,101068131
2,111255017,106026147,46023190,105235063
2,101221127,102253108,99115118,101195137
2,115013118,104053234,104036189,102164152
3,101017120,103019092,38035108,29041137
3,96088075,104056087,102087088,106116125
3,66030043,106147045,83016063,106055070
3,103034053,105127036,66020064,75004131
3,103100041,54050071,98017164,80030077
3,98039098,83013078,79034083,101046094
3,85031099,90018086,60019092,101033108
3,116030119,101067065,40024094,31083145
3,111028119,98072071,43021087,31111131
