0,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,0,1,110255003,1,110255003,0,0,1,0,1
1,0,255006,0,0,120255002,255004,60255002,0,1,0,0,1
1,0,0,120255002,0,120255001,0,0,120170003,120255002,120255004,120255002,120255002
1,2,0,255004,150255003,0,0,120255004,120170003,120255002,120255002,120170003,120255002
1,0,255010,120255002,165255002,120170003,255008,0,0,120255004,120170003,120255001,0
1,0,177255010,0,120170003,0,255008,120255002,120255002,120255002,120255002,120255002,120255002
1,255004,3255009,0,120255002,20033023,255010,0,1,120170003,173255004,170255003,0
1,255004,255010,165255002,120255004,120223008,255014,120170003,0,120170003,0,0,120170003
1,255004,170191004,0,0,0,255012,120255002,0,0,0,0,0
1,255004,255014,125255006,0,0,255004,0,0,120255001,0,0,0
1,255004,255010,0,0,178238015,255016,0,120170003,0,120255002,120255001,120255004
1,255008,6054047,0,150255001,0,255010,0,120255001,0,0,0,120255002
1,153131041,177255009,0,255004,126255005,255013,0,0,0,0,120170003,120255002
2,21247097,9249040,10245049,23220130,22198147,23246119,25174152,24173158,24185143,25184144,24181161,24191143
2,14252083,13252084,12252075,12250055,13255048,16255076,24164165,24173161,23172169,24171166,24169166,24183146
2,23237112,6236040,6248039,11255043,10255048,9253106,24177157,23193144,24194134,24175149,23233118,23183153
2,11255035,22248114,22217106,15255066,21244118,19241109,24174157,23174152,23179162,23192146,23176146,24172160
2,11250048,15252095,15248071,4247030,19239093,12255074,24215135,25220133,24213134,24212143,25219136,25198157
2,10249040,1255029,11248036,8255037,11250056,8255065,25192155,24201160,24199150,25208141,24204146,24195152
2,10242038,14241037,6255036,19255063,12255043,12238108,24170179,24185164,25194159,24195144,24192154,25182161
2,22188140,23180125,22143141,23169127,21167151,22196134,22136156,24113169,23147139,25127144,23133151,24108161
2,22187123,23177125,23167130,19199136,23196125,22181135,24121162,24127151,22144158,22132155,24130145,22155130
2,23161141,23159130,22153150,23153143,22149151,24171139,24110167,23126158,23125159,23132157,24116162,23119165
2,23229116,22224115,22233115,23246112,19250109,10247091,24161150,24192142,23187149,24170144,24186130,23168149
2,22225121,22224117,23232111,23244115,19239115,22227119,24168155,24176155,23182137,24174138,24181131,23176155
2,22198130,22218123,23202124,22180129,23227129,23206124,24145163,24150148,25159146,25161150,24161152,24151155
2,22167134,22159125,22176136,21166135,19249126,13255063,24115151,24126154,22123155,24127141,23122153,22117170
2,23135159,23150138,29100143,8237043,18229110,23145156,23103180,23112178,25109157,24103153,24114161,22114163
2,22173147,22174133,17245102,21137153,23147149,23156137,22108179,24108175,24112155,22123164,22128155,23120155
2,23205180,21206115,23178126,21219136,22232112,18255081,23124197,24128151,22159151,23132172,23124160,23128167
