0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,14219,15208,14214,15176,15169,15192,14221,3255,15137,17147,15176,17152,15159,16140,14172,15167
4,16198,15191,15216,12191,15153,14127,16149,15191,15145,16147,15161,15172,14129,15107,14142,16168
4,15188,16178,15177,15175,15162,15161,15160,17195,16139,16128,15149,14170,15135,14133,14156,16163
4,15211,15199,15231,15225,16198,16152,16202,15201,15148,15150,15162,15193,15142,15175,14193,16185
4,16187,15193,14193,15180,16171,15169,16185,16191,15131,16126,15144,15184,15177,16181,15178,15156
4,15178,16168,15193,15177,10195,3250,15192,15188,14135,16128,17160,16153,15149,17147,16156,14191
4,16179,15181,15193,13161,12215,179255,6231,15198,14147,15107,14170,14161,16149,15159,14142,14166
4,15162,16159,16172,15148,16137,15137,15164,14187,16112,15090,16114,16135,16132,16116,16143,14131
5,0,0,0,0,0,0,0,0,2255,1255,255,255,253,255,255,255
5,0,0,0,0,0,0,0,0,255,4253,255,252,255,253,255,252
5,0,0,0,0,0,0,0,0,4255,5253,4255,5253,2253,2251,1255,1255
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,252,255
5,0,0,0,0,0,0,0,0,255,252,255,179255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255
5,0,0,0,0,0,0,0,0,1255,255,1255,250,255,255,255,255
5,0,0,0,0,0,0,0,0,255,253,255,250,255,255,255,255
5,0,0,0,0,0,0,0,0,3253,1251,255,1255,255,179255,255,248
5,0,0,0,0,0,0,0,0,255,255,250,252,255,255,252,252
5,0,0,0,0,0,0,0,0,255,255,252,255,255,252,255,255
5,0,0,0,0,0,0,0,0,255,179255,179255,255,255,255,252,255
5,0,0,0,0,0,0,0,0,1255,253,179253,255,255,255,3248,253
5,0,0,0,0,0,0,0,0,255,1255,1255,255,255,255,253,255
5,0,0,0,0,0,0,0,0,255,252,255,255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,252,3255,255,255,253,255,255
5,0,0,0,0,0,0,0,0,179250,3253,248,179255,179255,255,255,255
5,0,0,0,0,0,0,0,0,1253,2255,2250,255,255,255,255,253
5,0,0,0,0,0,0,0,0,2255,253,1248,255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255
5,0,0,0,0,0,0,0,0,1255,1250,255,255,255,255,252,252
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,179252
5,0,0,0,0,0,0,0,0,255,255,255,255,252,255,255,255
5,0,0,0,0,0,0,0,0,255,255,252,255,255,250,255,179255
5,0,0,0,0,0,0,0,0,255,255,252,255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,255,255,252,245,179255,255,255
6,249,255,1255,255,255,251,1251,1255,255,255,255,1255,255,255,255,255
6,1255,179255,255,255,179247,179250,179255,255,255,255,252,255,255,179251,255,1255
6,179255,179255,255,255,179255,178255,255,255,255,179255,255,255,255,255,255,255
6,255,251,1255,255,255,248,255,255,255,255,255,255,247,255,255,255
6,255,255,255,179255,2255,1255,255,251,255,255,255,255,252,255,3255,255
6,255,255,251,255,179255,255,179255,255,255,255,255,255,255,179255,252,255
6,255,255,179255,179255,255,179255,255,179255,255,255,255,255,255,255,255,179255
6,255,255,255,179255,251,255,255,1255,255,255,252,252,255,255,255,255
6,179249,255,249,250,255,255,179252,179255,255,255,255,255,255,255,255,255
6,255,255,255,1255,255,179255,255,255,255,255,179255,179255,255,255,255,255
6,179255,255,255,179255,255,238,242,255,255,252,255,255,255,255,1255,1255
6,255,179249,179255,178255,179250,179255,179255,179255,255,179252,255,255,255,1255,255,251
6,179243,255,179255,179255,240,178255,1255,179255,252,255,255,255,255,255,252,255
6,255,1255,179255,1255,250,255,255,179255,255,179255,250,179255,255,255,1255,179255
6,179255,179255,255,255,255,255,179255,255,179255,179255,179255,179255,179255,251,255,179255
6,255,255,1255,250,179255,255,179255,179255,250,1255,255,179255,255,1255,179255,255
6,179255,179255,178255,179255,255,255,255,179255,255,255,1255,255,255,179255,179249,179255
6,179255,179255,255,179255,255,255,179255,255,255,1255,1255,179255,255,255,250,255
6,255,179255,255,255,255,255,255,179255,255,255,1255,179255,255,255,255,179255
6,1255,179255,179255,255,255,255,255,255,255,255,1255,255,255,255,179255,255
6,179255,250,0,0,0,0,255,179249,250,179255,243,179255,255,179255,179255,179255
6,255,179255,0,0,0,0,1255,179255,255,1255,250,255,255,179255,179255,255
6,179255,179249,0,0,0,0,1255,179255,255,179255,179255,1255,250,1255,255,179249
6,179255,255,255,179255,255,179255,255,179255,179255,1245,255,179255,251,255,250,255
6,255,179255,255,255,255,1255,255,251,255,255,255,1255,255,255,255,1255
6,251,249,0,0,0,0,255,247,1255,179251,1255,250,252,251,255,1255
6,255,255,255,255,179255,252,255,255,1255,255,250,1255,255,255,179255,179255
6,255,1255,1255,255,253,255,179255,1255,179255,255,179255,255,255,179255,255,179255
6,1255,255,1255,255,255,251,1255,179255,179255,179255,178255,255,255,179255,255,179249
7,121255,126224,125233,126249,129206,129206,125179,122255,119223,119204,120247,120255,120236,120250,120255,120255
7,124217,124234,121245,119250,127237,130255,121255,120255,119238,119220,118228,120236,119240,120217,122238,120255
