0,1,2,3,4
1,1,0,1,110255003
1,0,0,0,60255002
1,0,0,120255004,0
1,150255003,2,120255002,120255004
1,165255002,0,120170003,0
1,120170003,0,120255002,120255002
1,120255002,255004,173255004,0
1,120255004,255004,0,120170003
1,0,255004,0,120255002
1,0,255004,0,0
1,0,255004,120255002,0
1,150255001,255008,0,0
1,255004,153131041,0,0
2,23220130,21247097,25184144,25174152
2,12250055,14252083,24171166,24164165
2,11255043,23237112,24175149,24177157
2,15255066,11255035,23192146,24174157
2,4247030,11250048,24212143,24215135
2,8255037,10249040,25208141,25192155
2,19255063,10242038,24195144,24170179
2,23169127,22188140,25127144,22136156
2,19199136,22187123,22132155,24121162
2,23153143,23161141,23132157,24110167
2,23246112,23229116,24170144,24161150
2,23244115,22225121,24174138,24168155
2,22180129,22198130,25161150,24145163
2,21166135,22167134,24127141,24115151
2,8237043,23135159,24103153,23103180
2,21137153,22173147,22123164,22108179
2,21219136,23205180,23132172,23124197
2,18245179,23174129,24130147,24120159
2,20248069,23164148,25122163,25102193
2,23184136,21150148,23149159,23132160
2,11255047,23184133,25154139,23138164
2,14251060,22212124,25165148,24143155
2,23196138,23195127,24147149,25136158
2,20193107,23216123,23155140,23145160
2,22160143,23187128,24127148,23116169
2,23175128,23182123,24127145,24109168
2,22150134,22204124,23131154,24123155
2,22178126,22180126,25122152,23117175
3,175200037,171067176,160048127,167054132
3,4126127,164141047,162048116,167053125
3,2132106,174060136,163050118,162048144
3,165127062,177070116,162048116,167053110
3,0,0,140046112,168051111
3,0,172054108,152034114,164050112
3,0,166047113,153050092,168053115
3,143031142,170060089,168069089,167055106
3,159046117,172056101,170077086,164051115
3,146059087,170070084,170057094,147045108
3,169053102,170074090,157057080,162054095
3,0,168052127,162045113,167044133
4,15126103,18141105,19088122,15091137
4,14104115,17141105,15088101,13070123
4,15153100,17150107,16099098,15099116
4,16142104,15120108,13092094,15093115
4,16079126,17141110,15106103,16088127
4,16086131,16156088,16110090,16083114
4,16071133,16112105,14100120,12108104
4,15105124,8255032,15142095,13117118
4,13096141,14121122,16118112,15063141
4,14126140,15185106,15161108,14134110
4,17092163,12246085,17105148,17107146
4,16118141,14255064,17106151,17096149
4,14179108,13189105,15126136,15138126
4,16148129,15186115,13124113,16125145
4,15135157,16177114,14129117,15146131
4,15179107,15204090,14133121,14149108
4,15167125,15179114,15165091,16128132
4,16145116,15156100,15143075,16120117
4,15142113,15184094,16145088,14112114
4,15132131,16172105,15111117,15108125
5,0,0,244111,1255114
5,0,0,255102,2253117
5,0,0,1255111,5248141
5,0,0,255088,255102
5,0,0,255088,255113
5,0,0,255087,255093
5,0,0,255098,179255100
5,0,0,255095,255099
5,0,0,255115,1253116
5,0,0,255096,255098
5,0,0,255090,255086
5,0,0,255107,252091
5,0,0,255111,1255115
5,0,0,255104,255103
5,0,0,255103,255094
5,0,0,255080,255100
5,0,0,250097,1253110
5,0,0,255094,255097
5,0,0,253108,1255108
5,0,0,243110,1255108
5,0,0,255090,3253118
5,0,0,255098,4251117
5,0,0,255090,255089
5,0,0,255090,253107
5,0,0,255074,255076
5,0,0,255097,252097
5,0,0,255088,4252099
6,255064,179255026,255067,255064
6,1255058,255034,255064,255072
6,178255030,255024,255064,179252077
6,255079,255062,251069,255080
6,177255021,250050,252075,255080
6,179255045,255078,255074,255110
6,179255034,255068,255082,255094
6,1252096,1255059,255080,255104
6,255104,179251057,252091,255105
6,255014,179255041,255068,255084
6,179255027,255060,255064,255096
6,255104,255063,179255078,253104
6,255091,250140,255077,255082
6,255060,1255052,255064,179255056
6,255070,179255042,179255060,179255050
6,255061,255031,255060,255060
6,179255047,255048,1255068,179255044
6,255064,179255050,255061,255062
6,255070,1255052,255064,255060
6,255064,179255050,255064,255066
6,0,255060,255054,179255058
6,0,179255050,255054,255054
6,0,1255052,255054,255058
6,255072,255061,251059,179255064
6,255068,255069,179251070,255069
6,0,255078,255061,255064
6,255099,1255058,255055,179255045
6,179252078,251061,255055,255058
6,255062,255054,255054,255048
7,119255022,124219063,121247062,119220081
7,125255049,121255039,118236068,120213078
