0,1,2,3,4,5,6,7,8
7,119230,120215,124193,122233,120186,118255,120169,120255
7,120255,121250,121255,120255,117194,120198,119210,118189
7,142188,120250,122255,120255,120255,120255,120255,120244
7,120255,120251,120255,126243,120255,120255,120255,120229
7,119253,121255,121250,126255,120241,120255,120255,120251
7,127130,126117,125122,133123,122098,120135,121131,122111
7,130146,121144,131106,122154,119118,119122,122177,118114
7,129127,120099,127097,126174,122112,118138,118163,124124
7,122251,121255,120255,120255,117217,119228,118239,118206
7,119255,120255,120255,120255,119214,119229,119240,119202
7,121249,164255,120255,119255,118203,120224,118237,119194
7,120215,118218,122169,117186,118202,119229,118236,118217
7,122224,122221,124166,115217,118212,120255,118251,119224
7,120255,118228,112237,120247,119255,120255,120255,119224
8,15255,30255,3255,6255,35234,20255,24213,17255
8,13255,25139,18235,29255,24255,17255,24255,13255
8,30255,26255,24255,23237,24255,17255,13255,21213
8,20255,3255,23234,10255,24255,17255,15255,21255
8,16216,21243,26239,22245,24255,26255,26255,21255
8,12219,8216,27216,17231,21255,21255,19204,19255
8,14241,23245,26247,19234,26255,25255,24255,21255
8,19255,24255,17255,11255,13255,13255,36255,24255
8,13255,23255,5255,24255,10255,13255,24255,20255
8,9255,11255,11255,11255,42255,24255,42255,13230
8,11255,25255,11227,255,23255,17255,24255,23240
8,6255,21255,21255,13235,25237,11255,11255,21255
8,6255,10255,169255,177255,30255,21255,13255,20242
8,11255,24255,14237,22246,11227,23235,20255,25237
8,20255,15235,19247,12217,21222,23240,22255,14255
8,8255,16225,23236,9215,20255,22224,21255,24246
8,13255,16255,22255,10242,24255,23228,20242,24247
8,17242,23255,25255,23239,21248,22246,25242,20255
8,8227,19243,24255,16224,23249,22245,25242,24255
8,255,10255,13223,16246,15232,12255,14255,13225
8,213,6255,9255,5255,2239,2255,5255,17255
8,177255,223,16247,14255,18247,13223,13242,12234
8,17232,6255,13255,242,13240,5255,14255,18255
8,9231,8255,17248,14255,15255,11233,14247,12247
8,242,9242,15255,238,18255,16240,12244,10233
8,255,1255,13230,15237,15241,8244,9255,20255
8,255,5242,15233,2225,16255,9242,9255,10255
8,255,2255,20255,255,13255,10247,10255,5239
8,255,255,177255,177255,11248,3255,8255,14248
8,7230,15240,178255,1223,10249,9255,4246,14255
8,255,177255,255,10246,11249,4255,11255,7240
8,255,255,5255,255,12224,255,238,12244
8,255,16243,14242,2239,12255,5241,5228,2255
8,3255,3255,18255,13255,17246,2239,7241,19168
8,5219,14231,16255,11238,15240,11246,17247,15248
9,117041,120255,122255,173019,109052,111074,114058,109072
9,110058,119243,153036,138034,109057,115058,107067,122036
9,120011,138255,120255,176028,112049,108050,111055,116033
9,120033,123255,121214,146028,105040,109069,105062,113045
9,147041,115065,111059,122049,110049,110088,114101,113077
9,116076,109074,170009,128041,114068,111086,115061,111055
9,113062,110074,113071,122049,109064,110075,111074,111072
9,116064,112092,116052,123036,111064,111079,114079,115070
9,117079,120090,108183,102253,111076,112074,112080,116065
9,116059,112076,113109,110168,112056,116059,111078,116046
9,116059,114082,115251,118128,116065,111061,111070,113052
9,116061,110077,128234,126042,114077,109071,114084,122049
9,116054,113080,123040,133027,107048,107058,111065,110050
9,125027,111063,109044,138035,112063,110059,115059,112073
9,112049,108051,141015,128032,111046,110051,112066,111047
9,120041,114064,114050,118048,110060,114057,113074,130029
9,113057,122054,116060,141036,109062,108056,106057,107058
9,109081,113069,138031,117150,111055,114047,107068,111049
