0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,0,0,0,0,179255,0,0,115255,120255,120255,0,0,0,0,0,0,0,0,0,0,0,0,0
1,177255,0,0,255,255,165255,0,0,126255,0,0,0,0,120255,0,0,0,0,0,0,0,0,0,0
1,0,0,0,120170,20026,255,0,0,125255,120039,138142,0,120255,120255,120255,120255,120255,120255,126255,120255,120255,125255,120255,120255
1,0,0,0,126255,70,255,0,120255,120170,120255,120255,0,120255,120255,120255,120255,120255,120255,120255,120255,120255,120255,120255,120255
1,255,0,165255,255,204,255,0,120255,0,126255,165032,255,0,0,0,120255,120255,0,120255,126255,120255,120255,0,120255
1,255,165255,0,255,255,255,0,120255,0,125255,170077,0,0,0,120255,120255,120255,120255,120255,120255,120255,120255,120255,0
1,255,255,173255,255,255,6213,0,0,120085,140191,140255,255,0,120255,0,0,255,0,173255,0,0,0,255,0
1,3255,255,0,255,255,255,150255,0,120255,124255,0,255,0,15255,0,0,0,120170,165255,0,0,0,0,0
1,255,132255,177012,255,0,0,0,0,0,0,0,0,0,0,120255,0,0,0,0,0,0,0,0,120255
1,255,177255,255,177255,255,0,0,0,0,0,0,0,0,0,0,0,120255,120255,120255,120255,165255,0,120170,0
1,255,255,140255,255,255,173255,128,0,120128,0,0,255,0,0,0,0,120255,173255,0,0,120255,120255,0,0
1,255,166255,94025,255,255,132255,0,0,0,0,0,255,0,0,0,0,0,120255,120255,120255,0,0,0,0
1,255,2255,173004,255,255,255,0,165255,120128,255,0,0,120255,120255,0,0,0,120255,0,120255,120255,0,120170,120255
2,22243,23246,15255,11249,10255,12246,12248,176245,23222,23234,23238,22228,25188,25167,24165,24177,24191,24172,23190,25178,25177,25206,24178,24178
2,18240,15251,17251,18255,17245,13249,13250,12255,15252,12236,14255,13247,24166,24155,24172,24166,24175,24197,24171,24162,24166,24169,24172,23195
2,20243,16252,10244,8255,6248,10244,1255,9248,9249,12255,11251,11255,24184,24170,24175,23209,23185,24180,25183,24179,24187,24200,24185,23183
