0,1,2,3,4,5,6,7,8
1,0,1,120255001,0,0,1,1,1
1,255010,0,0,177255010,0,1,1,1
1,120170003,0,120039013,0,120255002,126255005,125255006,120255002
1,126255005,1,120255007,0,120255004,120255002,120255002,120255002
1,255004,0,126255005,255010,120255002,120255004,120255001,0
1,255006,0,125255006,255008,120255002,120255002,120255002,0
1,255008,1,140191004,255010,0,173255004,0,0
1,255008,150255004,124255007,3255009,0,165255002,0,0
1,255014,0,0,255018,0,0,0,0
1,177255009,0,0,255010,0,120255002,0,0
1,255010,128002,0,255018,0,0,120255002,0
1,255010,0,0,255014,0,120255002,0,0
1,255007,0,255001,255014,0,0,0,120255002
2,11249045,12248037,23234131,22243130,24177161,23190146,25206130,25188149
2,18255066,13250055,12236053,18240102,24166172,24171166,24169163,24166166
2,8255032,1255026,12255053,20243109,23209138,25183139,24200138,24184150
2,23222116,20255069,17246088,13255054,24176154,24185152,23175147,24176155
2,9246029,17255056,7233035,12246055,25213133,25208141,24196168,24202154
2,9255034,5248036,8251059,15248072,25196155,25200154,25210148,25201164
2,10249043,12255047,9255034,11255083,24175175,24188157,24192149,24179165
2,22183160,23153138,21184148,21188136,23116172,26125147,23140148,24123154
2,22164137,21209155,22152146,23178132,23131171,23128153,23126148,23139154
2,23174138,22159143,22153153,22165150,24113171,24117163,23122153,24119158
2,22228112,23207121,23255114,21240117,24177154,24186145,24182130,23167151
2,22219119,18250055,17240099,22191136,23174158,24169140,24174135,23172156
2,22205127,23206120,23206134,23203122,24151157,24160139,24163149,24161147
2,22178129,23182118,20192126,21187161,23152131,24117153,23118147,24121160
2,23153157,22206165,12241054,22142158,23116184,24114166,24104160,22123141
2,23159133,14250048,23159149,22163171,24113170,25107148,24114157,25110167
2,23239094,22198112,17239097,22200191,23116172,22131177,23139158,23127165
2,22173133,21192171,18242162,21195229,23119172,24134143,23140146,23136150
2,24167142,22245073,17255092,23180150,23110186,26107169,24120160,25106175
2,22173134,23175127,23199137,23190129,23129166,23141157,23139147,23164131
2,23193131,15207053,13246059,23205122,24145157,23149152,24166140,23145163
2,18218069,12250048,9233046,19211111,24148155,24158144,24158144,24153150
2,22203128,23208120,23187134,24182130,24132170,24154144,24157146,24145153
2,23224114,18235065,1221037,22211128,24145164,24158142,24162140,24140158
2,22178126,23185123,23161133,22186129,23115184,25126146,25124148,22157133
2,22170129,23173125,21227127,22192134,24115162,24121145,24127141,21132155
2,21211132,22181128,22160139,23176122,24118153,20152159,24131146,22121162
2,23188110,22181128,22200120,23195118,23173121,23136150,24128149,24127149
3,7107152,170097076,4154109,159079113,164039144,166051106,167074089,170068097
3,172098120,169066178,178156080,173142054,162050112,162054104,163059104,168056127
3,176078098,178118078,174119088,174170051,164049126,166062107,162045124,164049129
3,170069100,162176029,6090217,4106103,162040126,167049110,167056096,172061113
3,0,0,0,0,167054100,162047092,169044109,169054099
3,0,0,0,179064120,164051100,154049089,1045126,169053101
3,0,0,0,166050122,170051106,169060089,152038094,169055097
3,172072082,160045102,164059103,175083098,166052103,167057089,155050097,170064103
3,170064092,167056105,173070110,166048123,168058115,164059104,177089063,164058105
3,175074083,173069093,179096072,175080093,154053082,164055093,164055093,162059095
3,172068097,167059087,153044121,178073105,172060097,168075075,145045102,170064092
