0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3,157255021,157089072,172057103,174071097,152255016,165066100,140255020,146193029,164047130,167059113,164057099,165065102,164058097,164055092,167062082,162053097
3,81095,172070098,176078095,173073087,174060081,170063109,170071094,167067099,167051104,165061109,170058092,167066081,159052079,164059095,170084079,170064091
3,178059130,170051114,175069115,175065114,172054128,175051124,170058119,175060124,165052128,162045126,167047125,159048121,167047124,159051116,167070095,164051109
4,9248039,4231032,7242038,17206042,15131103,13098117,161076054,83012083,13076138,15078147,15092117,13087111,13098099,15092116,16099098,16104108
4,8232045,179222023,8255027,14176068,15116092,15106101,11063069,8189054,13078125,15069119,15094114,14137097,15090093,12090102,13092105,14090113
4,255033,15185073,11255027,8142036,7255054,1255022,138104032,4135072,17104118,17111115,17129095,16161073,16107088,18127086,12133088,16138085
4,13198076,13255048,255018,5255052,255035,108194054,1255035,4248034,15104110,17095107,16118099,17113095,12094098,14095097,15120091,16148086
4,15168100,18157094,11246028,4250051,13181076,12070109,32095,3255040,15099131,17173081,17101114,15109105,15105109,13094103,15117105,15105117
4,7221037,13134078,16164087,17175089,16118108,16128112,9245076,178240017,15102113,16116101,15096120,17126097,17136075,16098115,14109084,16134084
4,17142106,16133109,17148086,17139088,16105112,13160113,255019,13186074,14107095,14114105,17114105,17109094,14088104,18111099,17129089,16130090
4,14136092,98140232,122130196,128090113,13190094,10226053,15165093,12255044,15099108,15090122,15117111,14164081,18112112,17106101,15138083,16117096
4,10088125,14209044,3247032,12252092,13249080,8255044,14155132,15132114,16080140,15063141,16087129,15111110,19109105,18097103,16101111,14102123
4,179243021,7255044,255025,6251068,5251060,12255089,179255020,4245052,14146108,15133119,16150097,15178103,15149101,16158103,15172089,15152104
4,11242057,10255077,11255058,9255073,12234110,9251061,14237125,7231054,15099160,16097144,17122136,16118136,17098145,16113129,16107136,15116136
4,14227090,13255082,12228125,8248078,14253107,13255078,11252097,8245050,16114137,17095151,17116134,16134120,15126119,16101139,17126119,17132118
4,13226098,11248075,10255077,11221067,15158124,14193115,14209106,12220094,16132135,15148114,16172108,15184104,15153125,17152124,14190102,15160118
4,13220101,13230083,11240070,8243086,8255070,13255071,14184112,15227108,15153125,16141136,15149113,15166115,16137119,15151115,15122151,15180102
4,15204114,14186104,8255057,2255052,13201099,15162143,15150133,15204110,15138126,15134146,15149132,15164106,15143107,16102197,14156106,16157104
4,14215095,14200102,3255043,8255076,6251070,15191103,15207096,15217094,13154098,15158103,16179094,15203074,14164087,15183082,14193082,16187086
4,16213104,14188103,15203103,15215101,12234095,13251127,13218152,13247096,16124125,15125126,15142115,16179087,16177088,15177085,15174091,15161098
4,176247030,1255022,179255021,5255058,4250056,179255040,15249125,1255022,15145095,16105122,17162088,16154083,15137080,16150075,16144078,14183081
4,1255029,255021,255021,2255052,3255050,255018,255038,8255076,15146103,15116112,16162110,16191076,15144090,15161076,14154078,16176081
4,13247066,15244069,15176087,13230093,14246119,15050255,11228112,12250054,15123122,15092142,16114127,16133109,15118104,15120113,15136101,14126117
