0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,75255002,0,255004,1,110255003,110191004,126213006,1,1,0,0,1,1,0,1
1,0,0,255004,255008,75255002,0,120170003,165255002,1,1,0,1,0,0,0,1
1,0,1,126213006,165255002,0,120128004,120235013,0,120255002,120255003,120255002,120170003,0,120255002,120255002,120255002
1,0,0,120255002,140255003,125255006,120255004,120230010,0,120255002,120255002,120255002,120255002,0,120255002,120255004,120255002
1,0,126255005,177255010,165255002,0,120255004,115219007,255010,120255002,0,120255002,120255004,120255002,120170003,120255002,120255002
1,177255009,0,255010,173255004,120255004,124255007,120170003,177255009,120255002,120255002,120255002,120170003,120170003,120255002,0,120255002
1,255008,255005,177255010,15255002,15255002,125219007,0,255010,120170003,0,0,0,0,165255002,120255002,120170003
1,255008,255008,255010,175255006,165255002,1,125255006,255014,0,0,0,120255002,165255002,120170003,0,0
1,175108026,22014196,173255004,0,0,0,165255002,255010,0,0,120255002,0,0,0,0,0
1,255010,255004,255010,0,0,120255004,0,170255003,0,120255002,126255005,120255002,126255005,120128002,0,120255002
1,255008,120128002,255004,165255002,0,165255002,255004,255018,120255002,0,120255002,120255002,120170003,0,120170003,120255002
1,137062153,169255008,255010,0,0,0,0,255010,0,120255002,0,0,120255002,0,0,0
1,255011,140255009,255014,255004,122255015,126255005,120255004,255004,0,0,0,120255002,120255002,0,120255002,120255002
2,16255061,17248068,13239063,12251071,242019,23215133,22238135,22253127,24174157,24170165,24182154,23180159,25176152,23175156,24179160,24192145
2,18252101,15251117,9248069,13255091,15250056,17246111,13243063,10255055,24168170,24164166,24179155,23206140,24169160,24161179,24170170,24168170
2,14255059,11240033,8249041,10255042,9249041,11245049,10243064,10251120,24171170,23207127,24185146,24182151,23178165,23206131,24191147,23180154
2,22242119,15251065,22244118,21236106,22242119,22240119,21228130,18255097,24172154,25177151,23182151,24186159,24184150,24193148,24172159,23183149
2,9255038,14245077,14243102,5250053,9237042,1246027,14245074,7255050,25202154,25213138,25222130,25230123,25223129,24212142,25215140,24206151
2,11248038,15245077,12255045,12245050,10249044,14251063,12251066,12247091,24194154,24195154,24194151,25208147,25213145,25214144,24213141,24199149
2,5239032,14217067,13248037,13230061,10235039,12255051,11255048,12243085,24177171,24171174,25192161,25191164,24206145,24198144,24196151,24182160
2,23173130,23181131,23187124,23157135,23145141,22161149,22169148,22218130,23124161,23101187,22130155,24131152,23105184,25128140,24118155,23112175
2,23172145,23164134,23168132,22180129,23166135,22185127,22188130,23184132,24116160,24140162,24123160,21157141,24117165,24130145,24135140,26129146
2,23160140,23163136,23174141,22152153,23157149,23158145,21161157,22178145,23151132,24109169,23130165,22139173,26118153,23135153,24123155,25112166
2,15255061,20213110,22224117,24213116,22220117,20228115,20245101,13253111,24171145,23154161,24173159,24191143,24173155,23172142,24178135,23174144
2,23228112,23225119,23239112,22231116,23255116,22253114,21255122,23214125,23171155,24171157,24164149,23179138,24179131,24176135,24182130,23175144
2,22196130,23201122,22202125,23196122,23220124,23209127,23212135,23213127,24148164,24146157,24148152,25159146,24160147,24162153,23169152,24157156
2,22162137,22154136,23157130,23173122,23179128,20204134,20189120,18222115,23124152,23132162,23135153,22131158,24124148,23122170,24125149,23131144
2,23128170,23141152,23145144,22160132,18252076,20232134,20224162,22135174,24100169,24116167,24112177,24105165,24114164,23102160,24111163,22125157
2,22176136,23163142,21213110,19200120,22161144,23150156,23155145,22160156,22108177,22102197,24103183,24119161,25115158,24118149,24121148,23123160
2,17249133,20241109,22198112,22186140,21170153,21197128,15252079,17250158,22125161,24125163,23138157,22150153,23136157,23146143,23129154,23128167
2,21194147,21185139,22171157,22177128,22185127,17253115,21243128,13255047,25117161,24113162,23131160,22129170,23129168,25124144,25137134,22132153
